Loading train_10_1_200_50_500.txt
Loading eval_10_200_50_100.txt
Restricted license - for non-production use only - expires 2026-11-23
Num of cores: 1
Training the model with LD bound as loss...
Epoch 96 | loss: 12.7044 | train time : 84.66163635253906
Epoch 97 | loss: 12.6354 | train time : 85.53243446350098
Epoch 98 | loss: 12.5917 | train time : 86.4038758277893
Epoch 99 | loss: 12.5944 | train time : 87.2759141921997
Eval Epoch 99 | Mean relative regret: 0.4714
Epoch 100 | loss: 12.6473 | train time : 88.1466748714447
Epoch 101 | loss: 12.6616 | train time : 89.01612496376038
Epoch 102 | loss: 12.5915 | train time : 89.8835084438324
Epoch 103 | loss: 12.6363 | train time : 90.7522087097168
Epoch 104 | loss: 12.6277 | train time : 91.62096643447876
Epoch 105 | loss: 12.5702 | train time : 92.48973083496094
Epoch 106 | loss: 12.6365 | train time : 93.36082792282104
Epoch 107 | loss: 12.5734 | train time : 94.2304437160492
Epoch 108 | loss: 12.5644 | train time : 95.09949994087219
Epoch 109 | loss: 12.5144 | train time : 95.97060060501099
Eval Epoch 109 | Mean relative regret: 0.4714
Epoch 110 | loss: 12.6340 | train time : 96.84058332443237
Epoch 111 | loss: 12.5539 | train time : 97.70995283126831
Epoch 112 | loss: 12.6034 | train time : 98.58058047294617
Epoch 113 | loss: 12.5134 | train time : 99.45142817497253
Epoch 114 | loss: 12.6476 | train time : 100.32232546806335
Epoch 115 | loss: 12.5004 | train time : 101.192617893219
Epoch 116 | loss: 12.5328 | train time : 102.06397414207458
Epoch 117 | loss: 12.5035 | train time : 102.93627452850342
Epoch 118 | loss: 12.5583 | train time : 103.8076741695404
Epoch 119 | loss: 12.5555 | train time : 104.6783013343811
Eval Epoch 119 | Mean relative regret: 0.4714
Epoch 120 | loss: 12.6172 | train time : 105.54921841621399
Epoch 121 | loss: 12.5031 | train time : 106.41695976257324
Epoch 122 | loss: 12.5355 | train time : 107.28773188591003
Epoch 123 | loss: 12.4987 | train time : 108.15922522544861
Epoch 124 | loss: 12.4985 | train time : 109.0279471874237
Epoch 125 | loss: 12.4457 | train time : 109.89626955986023
Epoch 126 | loss: 12.4900 | train time : 110.76453137397766
Epoch 127 | loss: 12.4973 | train time : 111.63379621505737
Epoch 128 | loss: 12.4409 | train time : 112.50478839874268
Epoch 129 | loss: 12.5259 | train time : 113.37383270263672
Eval Epoch 129 | Mean relative regret: 0.4714
Epoch 130 | loss: 12.4541 | train time : 114.25216674804688
Epoch 131 | loss: 12.4972 | train time : 115.12523794174194
Epoch 132 | loss: 12.4999 | train time : 115.99888253211975
Epoch 133 | loss: 12.4279 | train time : 116.87352442741394
Epoch 134 | loss: 12.4709 | train time : 117.7446072101593
Epoch 135 | loss: 12.4378 | train time : 118.61610698699951
Epoch 136 | loss: 12.4797 | train time : 119.48925423622131
Epoch 137 | loss: 12.4706 | train time : 120.36092209815979
Epoch 138 | loss: 12.4417 | train time : 121.23411965370178
Epoch 139 | loss: 12.5432 | train time : 122.1049108505249
Eval Epoch 139 | Mean relative regret: 0.4714
Epoch 140 | loss: 12.4338 | train time : 122.97411036491394
Epoch 141 | loss: 12.5094 | train time : 123.8462495803833
Epoch 142 | loss: 12.4809 | train time : 124.7186861038208
Epoch 143 | loss: 12.5334 | train time : 125.59182524681091
Epoch 144 | loss: 12.5642 | train time : 126.46463108062744
Epoch 145 | loss: 12.4753 | train time : 127.33534669876099
Epoch 146 | loss: 12.4454 | train time : 128.21057891845703
Epoch 147 | loss: 12.4776 | train time : 129.08348560333252
Epoch 148 | loss: 12.4674 | train time : 129.95586609840393
Epoch 149 | loss: 12.4773 | train time : 130.8293318748474
Eval Epoch 149 | Mean relative regret: 0.4714
Epoch 150 | loss: 12.4502 | train time : 131.6996591091156
Epoch 151 | loss: 12.4992 | train time : 132.56916618347168
Epoch 152 | loss: 12.4504 | train time : 133.43930435180664
Epoch 153 | loss: 12.4673 | train time : 134.30970454216003
Epoch 154 | loss: 12.5215 | train time : 135.17820835113525
Epoch 155 | loss: 12.5527 | train time : 136.0461287498474
Epoch 156 | loss: 12.4688 | train time : 136.91585731506348
Epoch 157 | loss: 12.5080 | train time : 137.78437614440918
Epoch 158 | loss: 12.4756 | train time : 138.6519374847412
Epoch 159 | loss: 12.4961 | train time : 139.52030539512634
Eval Epoch 159 | Mean relative regret: 0.4714
Epoch 160 | loss: 12.5228 | train time : 140.38936471939087
Epoch 161 | loss: 12.5759 | train time : 141.25886821746826
Epoch 162 | loss: 12.4591 | train time : 142.1279170513153
Epoch 163 | loss: 12.5152 | train time : 142.99684309959412
Epoch 164 | loss: 12.4698 | train time : 143.8664994239807
Epoch 165 | loss: 12.4996 | train time : 144.7378454208374
Epoch 166 | loss: 12.4701 | train time : 145.6078498363495
Epoch 167 | loss: 12.5516 | train time : 146.47514581680298
Epoch 168 | loss: 12.5021 | train time : 147.34349274635315
Epoch 169 | loss: 12.4503 | train time : 148.21093153953552
Eval Epoch 169 | Mean relative regret: 0.4714
Epoch 170 | loss: 12.5172 | train time : 149.0793797969818
Epoch 171 | loss: 12.4241 | train time : 149.9460904598236
Epoch 172 | loss: 12.4663 | train time : 150.81264328956604
Epoch 173 | loss: 12.5403 | train time : 151.6801016330719
Epoch 174 | loss: 12.4528 | train time : 152.54818892478943
Epoch 175 | loss: 12.4822 | train time : 153.41613960266113
Epoch 176 | loss: 12.4924 | train time : 154.28512859344482
Epoch 177 | loss: 12.4543 | train time : 155.15413546562195
Epoch 178 | loss: 12.4599 | train time : 156.02310228347778
Epoch 179 | loss: 12.4410 | train time : 156.89344668388367
Eval Epoch 179 | Mean relative regret: 0.4714
Epoch 180 | loss: 12.5068 | train time : 157.76281929016113
Epoch 181 | loss: 12.4574 | train time : 158.6346480846405
Epoch 182 | loss: 12.4418 | train time : 159.50134110450745
Epoch 183 | loss: 12.4496 | train time : 160.37140130996704
Epoch 184 | loss: 12.4278 | train time : 161.24050521850586
Epoch 185 | loss: 12.4734 | train time : 162.10958862304688
Epoch 186 | loss: 12.5106 | train time : 162.97938013076782
Epoch 187 | loss: 12.5569 | train time : 163.84889841079712
