method;diff;n_samples;lambd;dim;num_item;lr;step_mu;n_iter_mu;best_relat_regret
SG;SPOPlus;#VALEUR!;#VALEUR!;5;200;0,001;1;30;0,467538357
SG;SPOPlus;#VALEUR!;#VALEUR!;5;200;0,001;1;10;0,467721164
SG;SPOPlus;#VALEUR!;#VALEUR!;5;200;0,001;1;50;0,472967505
SG;SPOPlus;#VALEUR!;#VALEUR!;5;200;0,001;10;50;0,552007914
SG;SPOPlus;#VALEUR!;#VALEUR!;5;200;0,001;10;10;0,553346694
SG;SPOPlus;#VALEUR!;#VALEUR!;5;200;0,001;10;30;0,553694308
SG;SPOPlus;#VALEUR!;#VALEUR!;5;200;0,001;30;30;0,60091579
SG;SPOPlus;#VALEUR!;#VALEUR!;5;200;0,001;30;50;0,602317572
SG;SPOPlus;#VALEUR!;#VALEUR!;5;200;0,001;30;10;0,605580151
cla;IMLE;5;1;10;50;0,001;0;0;0,229819939
cla;IMLE;1;1;10;50;0,001;0;0;0,231410846
cla;IMLE;10;1;10;50;0,01;0;0;0,237654179
cla;IMLE;10;10;10;50;0,01;0;0;0,244643167
cla;IMLE;10;10;10;50;0,001;0;0;0,24727124
cla;IMLE;5;10;10;50;0,01;0;0;0,253692597
cla;IMLE;5;10;10;50;0,001;0;0;0,258751363
cla;IMLE;1;10;10;50;0,001;0;0;0,259902567
cla;IMLE;5;1;10;50;0,01;0;0;0,260801286
cla;IMLE;1;10;10;50;0,01;0;0;0,264064252
cla;IMLE;10;1;10;50;0,001;0;0;0,275771439
cla;IMLE;10;10;10;50;0,1;0;0;0,286966354
cla;IMLE;1;1;10;50;0,01;0;0;0,290210366
cla;IMLE;5;10;10;50;0,1;0;0;0,291013867
cla;IMLE;1;10;10;50;0,1;0;0;0,304318428
cla;IMLE;1;100;10;50;0,1;0;0;0,307068229
cla;IMLE;10;100;10;50;0,1;0;0;0,311339676
cla;IMLE;5;1;10;50;0,1;0;0;0,313147962
cla;IMLE;5;100;10;50;0,1;0;0;0,314027041
cla;IMLE;10;1;10;50;0,1;0;0;0,316067129
cla;IMLE;1;1;10;50;0,1;0;0;0,361084998
cla;IMLE;5;100;10;50;0,01;0;0;0,378178239
cla;IMLE;1;100;10;50;0,01;0;0;0,383670002
cla;IMLE;10;100;10;50;0,01;0;0;0,385734707
cla;IMLE;1;100;10;50;0,001;0;0;0,390361845
cla;IMLE;5;100;10;50;0,001;0;0;0,390775889
cla;IMLE;10;100;10;50;0,001;0;0;0,393185824
cla;SPOPlus;#VALEUR!;#VALEUR!;10;50;0,001;0;0;0,487736344
cla;SPOPlus;#VALEUR!;#VALEUR!;10;50;0,01;0;0;0,528786659
cla;SPOPlus;#VALEUR!;#VALEUR!;10;50;0,1;0;0;0,612594843
LD;IMLE;10;10;10;50;0,1;0;0;0,33853057
LD;IMLE;5;100;10;50;0,1;0;0;0,339322686
LD;IMLE;10;100;10;50;0,1;0;0;0,341687769
LD;IMLE;1;100;10;50;0,1;0;0;0,341797978
LD;IMLE;5;10;10;50;0,1;0;0;0,358517319
LD;IMLE;10;1;10;50;0,01;0;0;0,368441015
LD;IMLE;1;10;10;50;0,1;0;0;0,370663583
LD;IMLE;10;10;10;50;0,01;0;0;0,373220652
LD;IMLE;5;10;10;50;0,01;0;0;0,375532627
LD;IMLE;1;10;10;50;0,01;0;0;0,380137235
LD;IMLE;10;1;10;50;0,1;0;0;0,383909613
LD;IMLE;5;1;10;50;0,1;0;0;0,384456009
LD;IMLE;5;1;10;50;0,01;0;0;0,386800498
LD;IMLE;1;1;10;50;0,01;0;0;0,405396581
LD;IMLE;10;1;10;50;0,001;0;0;0,432075083
LD;IMLE;1;1;10;50;0,1;0;0;0,438129723
LD;IMLE;1;1;10;50;0,001;0;0;0,450036377
LD;IMLE;10;100;10;50;0,01;0;0;0,452423096
LD;IMLE;5;1;10;50;0,001;0;0;0,453668356
LD;IMLE;10;10;10;50;0,001;0;0;0,453673661
LD;IMLE;5;100;10;50;0,01;0;0;0,457383752
LD;IMLE;5;10;10;50;0,001;0;0;0,468418032
LD;IMLE;1;100;10;50;0,01;0;0;0,474004835
LD;IMLE;1;10;10;50;0,001;0;0;0,47406742
LD;IMLE;1;100;10;50;0,001;0;0;0,478337348
LD;IMLE;5;100;10;50;0,001;0;0;0,485811949
LD;IMLE;10;100;10;50;0,001;0;0;0,487564534
LD;SPOPlus;#VALEUR!;#VALEUR!;10;50;0,001;0;0;0,469656199
LD;SPOPlus;#VALEUR!;#VALEUR!;10;50;0,01;0;0;0,479685426
LD;SPOPlus;#VALEUR!;#VALEUR!;10;50;0,1;0;0;0,58474195
MSE;IMLE;10;1;10;50;0,01;0;0;0,134970516
MSE;IMLE;5;10;10;50;0,01;0;0;0,13755931
MSE;IMLE;10;10;10;50;0,01;0;0;0,138037637
MSE;IMLE;5;10;10;50;0,001;0;0;0,138505802
MSE;IMLE;1;100;10;50;0,001;0;0;0,138647005
MSE;IMLE;5;1;10;50;0,001;0;0;0,138668895
MSE;IMLE;5;100;10;50;0,001;0;0;0,13868086
MSE;IMLE;10;1;10;50;0,001;0;0;0,138744041
MSE;IMLE;5;1;10;50;0,01;0;0;0,139034092
MSE;IMLE;5;100;10;50;0,01;0;0;0,139245138
MSE;IMLE;1;10;10;50;0,001;0;0;0,139408991
MSE;IMLE;1;10;10;50;0,01;0;0;0,140110791
MSE;IMLE;1;100;10;50;0,01;0;0;0,140638679
MSE;IMLE;10;10;10;50;0,001;0;0;0,141060293
MSE;IMLE;1;1;10;50;0,001;0;0;0,14199096
MSE;IMLE;1;1;10;50;0,01;0;0;0,142604977
MSE;IMLE;10;100;10;50;0,001;0;0;0,143843606
MSE;IMLE;10;100;10;50;0,01;0;0;0,144621909
MSE;IMLE;5;100;10;50;0,1;0;0;0,148703039
MSE;IMLE;1;100;10;50;0,1;0;0;0,150906309
MSE;IMLE;5;1;10;50;0,1;0;0;0,151402846
MSE;IMLE;1;10;10;50;0,1;0;0;0,152700797
MSE;IMLE;10;1;10;50;0,1;0;0;0,153105795
MSE;IMLE;1;1;10;50;0,1;0;0;0,15590626
MSE;IMLE;10;100;10;50;0,1;0;0;0,157054231
MSE;IMLE;10;10;10;50;0,1;0;0;0,158156306
MSE;IMLE;5;10;10;50;0,1;0;0;0,161470026
SG;IMLE;10;10;10;50;0,001;30;30;0,203393683
SG;IMLE;10;5;10;50;0,001;30;30;0,204122722
SG;IMLE;5;10;10;50;0,001;30;30;0,204757169
SG;IMLE;10;5;10;50;0,001;1;50;0,205684319
SG;IMLE;10;5;10;50;0,001;30;50;0,206165686
SG;IMLE;10;5;10;50;0,001;30;10;0,206263915
SG;IMLE;5;10;10;50;0,001;30;10;0,208257988
SG;IMLE;10;5;10;50;0,001;10;10;0,209272608
SG;IMLE;10;5;10;50;0,001;1;30;0,209862188
SG;IMLE;5;5;10;50;0,001;1;30;0,211050138
SG;IMLE;10;10;10;50;0,001;10;10;0,211099118
SG;IMLE;5;5;10;50;0,001;30;30;0,211107701
SG;IMLE;10;10;10;50;0,001;30;50;0,212126702
SG;IMLE;10;5;10;50;0,001;1;10;0,212338507
SG;IMLE;5;5;10;50;0,001;10;50;0,213362753
SG;IMLE;10;10;10;50;0,001;30;10;0,213535741
SG;IMLE;5;5;10;50;0,001;30;10;0,213773474
SG;IMLE;5;10;10;50;0,001;30;50;0,21448198
SG;IMLE;10;5;10;50;0,001;10;30;0,214666262
SG;IMLE;10;10;10;50;0,001;1;50;0,215481728
SG;IMLE;5;5;10;50;0,001;10;30;0,215664551
SG;IMLE;5;10;10;50;0,001;1;50;0,215676889
SG;IMLE;5;5;10;50;0,001;1;50;0,216748714
SG;IMLE;10;10;10;50;0,001;1;30;0,216785029
SG;IMLE;10;10;10;50;0,001;10;30;0,216874048
SG;IMLE;5;10;10;50;0,001;10;30;0,217183799
SG;IMLE;10;5;10;50;0,001;10;50;0,217543021
SG;IMLE;1;10;10;50;0,001;10;10;0,217694581
SG;IMLE;5;10;10;50;0,001;10;10;0,218217194
SG;IMLE;5;10;10;50;0,001;10;50;0,219134808
SG;IMLE;5;10;10;50;0,001;1;30;0,219168335
SG;IMLE;5;5;10;50;0,001;30;50;0,219785571
SG;IMLE;5;5;10;50;0,001;1;10;0,219877198
SG;IMLE;5;5;10;50;0,001;10;10;0,220159829
SG;IMLE;1;10;10;50;0,001;30;10;0,220920146
SG;IMLE;5;10;10;50;0,001;1;10;0,221295536
SG;IMLE;10;10;10;50;0,001;10;50;0,221422955
SG;IMLE;1;5;10;50;0,001;30;10;0,224067435
SG;IMLE;10;10;10;50;0,001;1;10;0,224238738
SG;IMLE;1;10;10;50;0,001;30;30;0,224600375
SG;IMLE;1;10;10;50;0,001;1;30;0,226253211
SG;IMLE;1;5;10;50;0,001;10;10;0,227081642
SG;IMLE;1;10;10;50;0,001;10;50;0,227933303
SG;IMLE;1;5;10;50;0,001;10;30;0,230782777
SG;IMLE;1;5;10;50;0,001;30;30;0,232908621
SG;IMLE;1;5;10;50;0,001;1;50;0,234365627
SG;IMLE;1;10;10;50;0,001;1;50;0,234379873
SG;IMLE;1;10;10;50;0,001;1;10;0,235135585
SG;IMLE;1;5;10;50;0,001;10;50;0,235412642
SG;IMLE;1;10;10;50;0,001;10;30;0,236216173
SG;IMLE;1;5;10;50;0,001;30;50;0,239432752
SG;IMLE;1;10;10;50;0,001;30;50;0,241943285
SG;IMLE;1;5;10;50;0,001;1;10;0,243263409
SG;IMLE;1;5;10;50;0,001;1;30;0,248881564
SG;SPOPlus;#VALEUR!;#VALEUR!;10;50;0,001;1;30;0,475630015
SG;SPOPlus;#VALEUR!;#VALEUR!;10;50;0,001;1;50;0,47698462
SG;SPOPlus;#VALEUR!;#VALEUR!;10;50;0,001;1;10;0,477493376
SG;SPOPlus;#VALEUR!;#VALEUR!;10;50;0,001;10;50;0,565932989
SG;SPOPlus;#VALEUR!;#VALEUR!;10;50;0,001;10;10;0,569068253
SG;SPOPlus;#VALEUR!;#VALEUR!;10;50;0,001;10;30;0,572906792
SG;SPOPlus;#VALEUR!;#VALEUR!;10;50;0,001;30;50;0,620426297
SG;SPOPlus;#VALEUR!;#VALEUR!;10;50;0,001;30;10;0,623090982
SG;SPOPlus;#VALEUR!;#VALEUR!;10;50;0,001;30;30;0,625500619
cla;IMLE;5;1;10;100;0,01;0;0;0,239418641
cla;IMLE;10;1;10;100;0,01;0;0;0,239820927
cla;IMLE;1;10;10;100;0,001;0;0;0,246165097
cla;IMLE;5;10;10;100;0,01;0;0;0,247731313
cla;IMLE;10;10;10;100;0,01;0;0;0,249580905
cla;IMLE;1;10;10;100;0,01;0;0;0,255391508
cla;IMLE;1;1;10;100;0,001;0;0;0,259956837
cla;IMLE;10;10;10;100;0,1;0;0;0,280775458
cla;IMLE;1;1;10;100;0,01;0;0;0,282331347
cla;IMLE;5;10;10;100;0,001;0;0;0,283019871
cla;IMLE;5;10;10;100;0,1;0;0;0,286303729
cla;IMLE;1;10;10;100;0,1;0;0;0,293042094
cla;IMLE;5;100;10;100;0,1;0;0;0,309833974
cla;IMLE;5;1;10;100;0,001;0;0;0,317813665
cla;IMLE;1;100;10;100;0,1;0;0;0,325100422
cla;IMLE;10;100;10;100;0,1;0;0;0,327661544
cla;IMLE;10;1;10;100;0,1;0;0;0,3358576
cla;IMLE;5;1;10;100;0,1;0;0;0,345185399
cla;IMLE;10;10;10;100;0,001;0;0;0,351231903
cla;IMLE;1;1;10;100;0,1;0;0;0,36278671
cla;IMLE;1;100;10;100;0,01;0;0;0,375087351
cla;IMLE;5;100;10;100;0,01;0;0;0,376876146
cla;IMLE;10;100;10;100;0,01;0;0;0,378911316
cla;IMLE;10;1;10;100;0,001;0;0;0,3825638
cla;IMLE;1;100;10;100;0,001;0;0;0,39643532
cla;IMLE;5;100;10;100;0,001;0;0;0,412807822
cla;IMLE;10;100;10;100;0,001;0;0;0,454524726
cla;SPOPlus;#VALEUR!;#VALEUR!;10;100;0,001;0;0;0,46969831
cla;SPOPlus;#VALEUR!;#VALEUR!;10;100;0,01;0;0;0,51532644
cla;SPOPlus;#VALEUR!;#VALEUR!;10;100;0,1;0;0;0,60640198
LD;IMLE;5;100;10;100;0,1;0;0;0,316612661
LD;IMLE;10;100;10;100;0,1;0;0;0,320940077
LD;IMLE;1;100;10;100;0,1;0;0;0,321969211
LD;IMLE;10;1;10;100;0,01;0;0;0,333688945
LD;IMLE;5;10;10;100;0,1;0;0;0,346553564
LD;IMLE;5;10;10;100;0,01;0;0;0,348293096
LD;IMLE;10;10;10;100;0,1;0;0;0,351997048
LD;IMLE;1;10;10;100;0,01;0;0;0,357195497
LD;IMLE;1;10;10;100;0,1;0;0;0,360940605
LD;IMLE;10;1;10;100;0,1;0;0;0,37236914
LD;IMLE;10;10;10;100;0,01;0;0;0,379411012
LD;IMLE;5;1;10;100;0,01;0;0;0,383428484
LD;IMLE;5;1;10;100;0,1;0;0;0,385900646
LD;IMLE;1;1;10;100;0,01;0;0;0,396235138
LD;IMLE;1;1;10;100;0,1;0;0;0,421905637
LD;IMLE;1;100;10;100;0,01;0;0;0,42803818
LD;IMLE;10;100;10;100;0,01;0;0;0,430908084
LD;IMLE;5;100;10;100;0,01;0;0;0,435794592
LD;IMLE;1;1;10;100;0,001;0;0;0,460308671
LD;IMLE;5;1;10;100;0,001;0;0;0,461501658
LD;IMLE;1;100;10;100;0,001;0;0;0,462960511
LD;IMLE;10;100;10;100;0,001;0;0;0,464192331
LD;IMLE;5;100;10;100;0,001;0;0;0,466364801
LD;IMLE;10;1;10;100;0,001;0;0;0,471316755
LD;IMLE;1;10;10;100;0,001;0;0;0,472567201
LD;IMLE;10;10;10;100;0,001;0;0;0,47386229
LD;IMLE;5;10;10;100;0,001;0;0;0,485434324
LD;SPOPlus;#VALEUR!;#VALEUR!;10;100;0,001;0;0;0,468706727
LD;SPOPlus;#VALEUR!;#VALEUR!;10;100;0,01;0;0;0,48523283
LD;SPOPlus;#VALEUR!;#VALEUR!;10;100;0,1;0;0;0,589237988
MSE;IMLE;10;100;10;100;0,01;0;0;0,130766392
MSE;IMLE;1;100;10;100;0,001;0;0;0,130804256
MSE;IMLE;1;10;10;100;0,001;0;0;0,130945846
MSE;IMLE;5;10;10;100;0,001;0;0;0,131188348
MSE;IMLE;10;1;10;100;0,001;0;0;0,131426021
MSE;IMLE;10;10;10;100;0,001;0;0;0,131716743
MSE;IMLE;5;100;10;100;0,001;0;0;0,131758109
MSE;IMLE;1;10;10;100;0,01;0;0;0,131787732
MSE;IMLE;5;100;10;100;0,01;0;0;0,132535622
MSE;IMLE;1;1;10;100;0,001;0;0;0,132556289
MSE;IMLE;10;100;10;100;0,001;0;0;0,13265942
MSE;IMLE;5;1;10;100;0,001;0;0;0,133065701
MSE;IMLE;5;1;10;100;0,01;0;0;0,134681627
MSE;IMLE;10;1;10;100;0,01;0;0;0,134826452
MSE;IMLE;5;10;10;100;0,01;0;0;0,135057077
MSE;IMLE;1;100;10;100;0,01;0;0;0,135188133
MSE;IMLE;10;10;10;100;0,01;0;0;0,13529563
MSE;IMLE;1;1;10;100;0,01;0;0;0,136966258
MSE;IMLE;10;10;10;100;0,1;0;0;0,148741245
MSE;IMLE;5;10;10;100;0,1;0;0;0,148932427
MSE;IMLE;1;1;10;100;0,1;0;0;0,150669858
MSE;IMLE;5;100;10;100;0,1;0;0;0,15184775
MSE;IMLE;10;1;10;100;0,1;0;0;0,152066112
MSE;IMLE;10;100;10;100;0,1;0;0;0,152675554
MSE;IMLE;1;10;10;100;0,1;0;0;0,154079229
MSE;IMLE;1;100;10;100;0,1;0;0;0,15421018
MSE;IMLE;5;1;10;100;0,1;0;0;0,154913649
SG;IMLE;10;5;10;100;0,001;30;10;0,196746781
SG;IMLE;10;5;10;100;0,001;10;30;0,198596403
SG;IMLE;5;10;10;100;0,001;30;10;0,198709115
SG;IMLE;10;5;10;100;0,001;10;50;0,199069366
SG;IMLE;5;5;10;100;0,001;30;10;0,199329749
SG;IMLE;10;10;10;100;0,001;30;50;0,199401855
SG;IMLE;10;10;10;100;0,001;30;10;0,200327471
SG;IMLE;5;10;10;100;0,001;30;50;0,201185331
SG;IMLE;10;10;10;100;0,001;10;50;0,201448619
SG;IMLE;10;5;10;100;0,001;30;30;0,201569781
SG;IMLE;10;10;10;100;0,001;10;10;0,201737955
SG;IMLE;5;10;10;100;0,001;10;10;0,201965675
SG;IMLE;10;10;10;100;0,001;30;30;0,20235227
SG;IMLE;10;5;10;100;0,001;30;50;0,202759355
SG;IMLE;5;5;10;100;0,001;30;30;0,20364967
SG;IMLE;5;5;10;100;0,001;10;50;0,204293251
SG;IMLE;5;10;10;100;0,001;30;30;0,205215424
SG;IMLE;5;10;10;100;0,001;10;50;0,20532459
SG;IMLE;10;5;10;100;0,001;10;10;0,205398783
SG;IMLE;10;10;10;100;0,001;10;30;0,205887064
SG;IMLE;5;10;10;100;0,001;10;30;0,206095576
SG;IMLE;1;10;10;100;0,001;30;10;0,206580505
SG;IMLE;5;5;10;100;0,001;10;30;0,206949115
SG;IMLE;5;5;10;100;0,001;10;10;0,208480656
SG;IMLE;1;10;10;100;0,001;30;30;0,209927574
SG;IMLE;5;5;10;100;0,001;30;50;0,210420191
SG;IMLE;1;10;10;100;0,001;30;50;0,211429477
SG;IMLE;1;5;10;100;0,001;30;10;0,212372109
SG;IMLE;10;10;10;100;0,001;1;10;0,212917939
SG;IMLE;10;10;10;100;0,001;1;30;0,213168889
SG;IMLE;5;10;10;100;0,001;1;50;0,213624969
SG;IMLE;10;5;10;100;0,001;1;50;0,214202985
SG;IMLE;10;10;10;100;0,001;1;50;0,214337781
SG;IMLE;1;10;10;100;0,001;10;50;0,215131342
SG;IMLE;1;10;10;100;0,001;10;10;0,215383902
SG;IMLE;5;10;10;100;0,001;1;30;0,215612337
SG;IMLE;5;5;10;100;0,001;1;30;0,216193467
SG;IMLE;10;5;10;100;0,001;1;30;0,21717231
SG;IMLE;1;10;10;100;0,001;10;30;0,217667192
SG;IMLE;5;10;10;100;0,001;1;10;0,217683971
SG;IMLE;1;5;10;100;0,001;30;30;0,220191136
SG;IMLE;1;5;10;100;0,001;10;50;0,220510215
SG;IMLE;10;5;10;100;0,001;1;10;0,220570639
SG;IMLE;5;5;10;100;0,001;1;50;0,222723573
SG;IMLE;5;5;10;100;0,001;1;10;0,222734258
SG;IMLE;1;5;10;100;0,001;10;10;0,223106608
SG;IMLE;1;5;10;100;0,001;30;50;0,226505712
SG;IMLE;1;5;10;100;0,001;10;30;0,231754333
SG;IMLE;1;10;10;100;0,001;1;50;0,232945949
SG;IMLE;1;10;10;100;0,001;1;30;0,233633116
SG;IMLE;1;10;10;100;0,001;1;10;0,238895833
SG;IMLE;1;5;10;100;0,001;1;50;0,245529443
SG;IMLE;1;5;10;100;0,001;1;30;0,24836345
SG;IMLE;1;5;10;100;0,001;1;10;0,250181794
SG;SPOPlus;#VALEUR!;#VALEUR!;10;100;0,001;1;10;0,46690917
SG;SPOPlus;#VALEUR!;#VALEUR!;10;100;0,001;1;50;0,467024893
SG;SPOPlus;#VALEUR!;#VALEUR!;10;100;0,001;1;30;0,482154101
SG;SPOPlus;#VALEUR!;#VALEUR!;10;100;0,001;10;30;0,565177321
SG;SPOPlus;#VALEUR!;#VALEUR!;10;100;0,001;10;50;0,569342971
SG;SPOPlus;#VALEUR!;#VALEUR!;10;100;0,001;10;10;0,570337832
SG;SPOPlus;#VALEUR!;#VALEUR!;10;100;0,001;30;30;0,621380925
SG;SPOPlus;#VALEUR!;#VALEUR!;10;100;0,001;30;50;0,625613034
SG;SPOPlus;#VALEUR!;#VALEUR!;10;100;0,001;30;10;0,626832843
cla;IMLE;5;10;10;200;0,01;0;0;0,23518306
cla;IMLE;1;10;10;200;0,001;0;0;0,244531021
cla;IMLE;1;10;10;200;0,01;0;0;0,245392457
cla;IMLE;10;10;10;200;0,01;0;0;0,249666512
cla;IMLE;5;1;10;200;0,01;0;0;0,267991036
cla;IMLE;5;10;10;200;0,1;0;0;0,282983869
cla;IMLE;1;100;10;200;0,1;0;0;0,283358097
cla;IMLE;1;1;10;200;0,01;0;0;0,287909567
cla;IMLE;10;10;10;200;0,1;0;0;0,288116306
cla;IMLE;1;10;10;200;0,1;0;0;0,296193302
cla;IMLE;1;1;10;200;0,001;0;0;0,297772169
cla;IMLE;5;100;10;200;0,1;0;0;0,299802333
cla;IMLE;5;10;10;200;0,001;0;0;0,309720546
cla;IMLE;10;100;10;200;0,1;0;0;0,326456726
cla;IMLE;5;1;10;200;0,1;0;0;0,350628734
cla;IMLE;5;100;10;200;0,01;0;0;0,367793262
cla;IMLE;1;100;10;200;0,01;0;0;0,372211665
cla;IMLE;10;100;10;200;0,01;0;0;0,373694688
cla;IMLE;1;1;10;200;0,1;0;0;0,37782076
cla;IMLE;1;100;10;200;0,001;0;0;0,380096078
cla;IMLE;10;10;10;200;0,001;0;0;0,386710465
cla;IMLE;5;1;10;200;0,001;0;0;0,398255497
cla;IMLE;5;100;10;200;0,001;0;0;0,452415675
cla;IMLE;10;100;10;200;0,001;0;0;0,464166045
cla;SPOPlus;#VALEUR!;#VALEUR!;10;200;0,001;0;0;0,479268402
cla;SPOPlus;#VALEUR!;#VALEUR!;10;200;0,01;0;0;0,52097255
cla;SPOPlus;#VALEUR!;#VALEUR!;10;200;0,1;0;0;0,61258477
LD;IMLE;10;100;10;200;0,1;0;0;0,291235358
LD;IMLE;5;100;10;200;0,1;0;0;0,296421111
LD;IMLE;10;10;10;200;0,01;0;0;0,298310727
LD;IMLE;1;100;10;200;0,1;0;0;0,305706561
LD;IMLE;5;10;10;200;0,01;0;0;0,313761234
LD;IMLE;10;10;10;200;0,1;0;0;0,325371474
LD;IMLE;10;1;10;200;0,01;0;0;0,338611394
LD;IMLE;5;10;10;200;0,1;0;0;0,339290142
LD;IMLE;1;10;10;200;0,01;0;0;0,340308845
LD;IMLE;5;100;10;200;0,01;0;0;0,347165525
LD;IMLE;1;10;10;200;0,1;0;0;0,36240375
LD;IMLE;5;1;10;200;0,01;0;0;0,36286819
LD;IMLE;10;1;10;200;0,1;0;0;0,365371466
LD;IMLE;10;100;10;200;0,01;0;0;0,367538184
LD;IMLE;1;100;10;200;0,01;0;0;0,37889728
LD;IMLE;1;1;10;200;0,01;0;0;0,38346085
LD;IMLE;5;1;10;200;0,1;0;0;0,387971878
LD;IMLE;1;1;10;200;0,1;0;0;0,428117603
LD;IMLE;10;1;10;200;0,001;0;0;0,443747818
LD;IMLE;10;10;10;200;0,001;0;0;0,447968692
LD;IMLE;1;100;10;200;0,001;0;0;0,44896242
LD;IMLE;5;100;10;200;0,001;0;0;0,449135423
LD;IMLE;5;10;10;200;0,001;0;0;0,44944793
LD;IMLE;5;1;10;200;0,001;0;0;0,451916099
LD;IMLE;10;100;10;200;0,001;0;0;0,459285617
LD;IMLE;1;1;10;200;0,001;0;0;0,462821811
LD;IMLE;1;10;10;200;0,001;0;0;0,478176117
LD;SPOPlus;#VALEUR!;#VALEUR!;10;200;0,001;0;0;0,471520305
LD;SPOPlus;#VALEUR!;#VALEUR!;10;200;0,01;0;0;0,497608364
LD;SPOPlus;#VALEUR!;#VALEUR!;10;200;0,1;0;0;0,595432162
MSE;IMLE;5;10;10;200;0,001;0;0;0,129528135
MSE;IMLE;10;10;10;200;0,001;0;0;0,130197138
MSE;IMLE;5;100;10;200;0,001;0;0;0,130674779
MSE;IMLE;5;1;10;200;0,001;0;0;0,131015256
MSE;IMLE;1;1;10;200;0,001;0;0;0,131363615
MSE;IMLE;10;10;10;200;0,01;0;0;0,13179718
MSE;IMLE;10;100;10;200;0,01;0;0;0,132027611
MSE;IMLE;1;10;10;200;0,001;0;0;0,132281259
MSE;IMLE;1;100;10;200;0,001;0;0;0,132465363
MSE;IMLE;10;1;10;200;0,001;0;0;0,133121014
MSE;IMLE;5;10;10;200;0,01;0;0;0,133332074
MSE;IMLE;1;1;10;200;0,01;0;0;0,133405879
MSE;IMLE;10;100;10;200;0,001;0;0;0,13345018
MSE;IMLE;10;1;10;200;0,01;0;0;0,133874178
MSE;IMLE;5;1;10;200;0,01;0;0;0,133898944
MSE;IMLE;5;100;10;200;0,01;0;0;0,133921415
MSE;IMLE;1;100;10;200;0,01;0;0;0,134275645
MSE;IMLE;1;10;10;200;0,01;0;0;0,134676307
MSE;IMLE;5;10;10;200;0,1;0;0;0,151374921
MSE;IMLE;1;1;10;200;0,1;0;0;0,151600495
MSE;IMLE;1;100;10;200;0,1;0;0;0,152237996
MSE;IMLE;5;1;10;200;0,1;0;0;0,152346373
MSE;IMLE;5;100;10;200;0,1;0;0;0,153941587
MSE;IMLE;10;10;10;200;0,1;0;0;0,153982714
MSE;IMLE;10;100;10;200;0,1;0;0;0,155070215
MSE;IMLE;10;1;10;200;0,1;0;0;0,155210897
MSE;IMLE;1;10;10;200;0,1;0;0;0,157433361
SG;IMLE;5;10;10;200;0,001;30;10;0,193485454
SG;IMLE;10;10;10;200;0,001;30;10;0,195371822
SG;IMLE;10;10;10;200;0,001;10;10;0,195697591
SG;IMLE;10;10;10;200;0,001;30;50;0,196077302
SG;IMLE;10;5;10;200;0,001;30;30;0,196104243
SG;IMLE;10;10;10;200;0,001;30;30;0,196775168
SG;IMLE;10;5;10;200;0,001;30;10;0,196847796
SG;IMLE;10;5;10;200;0,001;10;50;0,197014302
SG;IMLE;10;10;10;200;0,001;10;30;0,197142705
SG;IMLE;5;5;10;200;0,001;30;10;0,197341532
SG;IMLE;5;10;10;200;0,001;10;50;0,197409078
SG;IMLE;5;10;10;200;0,001;10;10;0,197820202
SG;IMLE;10;10;10;200;0,001;10;50;0,198070064
SG;IMLE;5;10;10;200;0,001;30;50;0,198107541
SG;IMLE;5;10;10;200;0,001;30;30;0,19827801
SG;IMLE;10;5;10;200;0,001;10;10;0,198812589
SG;IMLE;5;10;10;200;0,001;10;30;0,200097293
SG;IMLE;10;5;10;200;0,001;30;50;0,2007287
SG;IMLE;5;5;10;200;0,001;10;50;0,200980678
SG;IMLE;5;5;10;200;0,001;10;10;0,201061487
SG;IMLE;5;5;10;200;0,001;30;50;0,20151554
SG;IMLE;10;5;10;200;0,001;10;30;0,201558799
SG;IMLE;1;10;10;200;0,001;30;10;0,202150911
SG;IMLE;5;5;10;200;0,001;30;30;0,202180415
SG;IMLE;5;5;10;200;0,001;10;30;0,202348128
SG;IMLE;1;10;10;200;0,001;30;30;0,204157189
SG;IMLE;1;10;10;200;0,001;10;50;0,204998627
SG;IMLE;1;10;10;200;0,001;10;30;0,208586037
SG;IMLE;1;10;10;200;0,001;30;50;0,209381953
SG;IMLE;1;10;10;200;0,001;10;10;0,210514486
SG;IMLE;1;5;10;200;0,001;30;10;0,21109733
SG;IMLE;10;10;10;200;0,001;1;10;0,213972643
SG;IMLE;1;5;10;200;0,001;10;30;0,215835631
SG;IMLE;10;5;10;200;0,001;1;30;0,216420069
SG;IMLE;5;10;10;200;0,001;1;30;0,216468498
SG;IMLE;1;5;10;200;0,001;30;50;0,216517791
SG;IMLE;1;5;10;200;0,001;30;30;0,217187077
SG;IMLE;5;10;10;200;0,001;1;10;0,218788043
SG;IMLE;1;5;10;200;0,001;10;10;0,218798056
SG;IMLE;10;10;10;200;0,001;1;50;0,218843386
SG;IMLE;1;5;10;200;0,001;10;50;0,219027042
SG;IMLE;10;10;10;200;0,001;1;30;0,220391497
SG;IMLE;10;5;10;200;0,001;1;50;0,221932247
SG;IMLE;10;5;10;200;0,001;1;10;0,223778963
SG;IMLE;5;10;10;200;0,001;1;50;0,22606042
SG;IMLE;5;5;10;200;0,001;1;30;0,228660375
SG;IMLE;5;5;10;200;0,001;1;10;0,233409837
SG;IMLE;5;5;10;200;0,001;1;50;0,234116733
