n,jobtype,time limit,method,n_samples,lambda_imle,sigma,step_mu,n_iter_mu,mean_relat_eval,median_relat_eval,std_relat_eval,mean_relat_test,median_relat_test,std_relat_test
50,classic,10,IMLE,1,10,1,5,15,0.21779051423072815,0.21358804404735565,0.06648161262273788,0.2200273871421814,0.2038363367319107,0.06790560483932495
50,classic,60,IMLE,1,10,1,5,15,0.21779052913188934,0.21358804404735565,0.06648161262273788,0.2200273871421814,0.2038363367319107,0.06790560483932495
50,classic,300,IMLE,1,10,1,5,15,0.21779048442840576,0.21358804404735565,0.06648161262273788,0.2200273871421814,0.2038363367319107,0.06790560483932495
50,classic,600,IMLE,1,10,1,5,15,0.024541874565184117,0.023686323314905167,0.013433189624160843,0.017637931218964512,0.015859284438192844,0.010614161530544956
50,classic,10,SPOPlus,,,,5,15,0.21779051423072815,0.21358804404735565,0.06648161262273788,0.2200273871421814,0.2038363367319107,0.06790560483932495
50,classic,60,SPOPlus,,,,5,15,0.21779048442840576,0.21358804404735565,0.06648161262273788,0.2200273871421814,0.2038363367319107,0.06790560483932495
50,classic,300,SPOPlus,,,,5,15,0.020511562004685402,0.018995501101017,0.011442283168435097,0.02563220076262951,0.024686172604560852,0.01352059654891491
50,classic,600,SPOPlus,,,,5,15,0.025632197503000498,0.024686172604560852,0.013247424755955192,0.019008942569768986,0.017296078614890575,0.010678292648482602
50,LD,10,Exact,,,,5,15,0.030995510518550873,0.03062589466571808,0.012941588647663593,0.022467538714408875,0.020677665248513222,0.011185056529939175
50,LD,60,Exact,,,,5,15,0.030995510518550873,0.03062589466571808,0.012941588647663593,0.022467538714408875,0.020677665248513222,0.011185056529939175
50,LD,300,Exact,,,,5,15,0.030995510518550873,0.03062589466571808,0.012941588647663593,0.022467538714408875,0.020677665248513222,0.011185056529939175
50,LD,600,Exact,,,,5,15,0.03099550984799862,0.03062589466571808,0.01268011510917226,0.022467537124617958,0.02067848201841116,0.011184497660453072
50,SG,10,Exact,,,,10,10,0.03513627126812935,0.03333522379398346,0.014268907718360424,0.027325939387083054,0.02564544789493084,0.012369808740913868
50,SG,60,Exact,,,,10,10,0.03181762248277664,0.03065863624215126,0.012613757513463497,0.024127637967467308,0.022236952558159828,0.011947513557970524
50,SG,300,Exact,,,,10,10,0.03181762248277664,0.03065863624215126,0.012613757513463497,0.024127637967467308,0.022236952558159828,0.011947513557970524
50,SG,600,Exact,,,,10,10,0.031817619651556016,0.03065863624215126,0.012358907763877961,0.02412763740029186,0.022240026853978634,0.01194691622420086
50,SG,10,Exact,,,,10,20,0.2200273871421814,0.2038363367319107,0.06790560483932495,0.21905066072940826,0.21395628154277802,0.05955829098820686
50,SG,60,Exact,,,,10,20,0.03205881267786026,0.030522555112838745,0.012915370985865593,0.023955777287483215,0.022069934755563736,0.01197095587849617
50,SG,300,Exact,,,,10,20,0.03205881267786026,0.030522555112838745,0.012915370985865593,0.023955777287483215,0.022069934755563736,0.01197095587849617
50,SG,600,Exact,,,,10,20,0.03205881521105766,0.030522555112838745,0.01265442759133247,0.02395577634256333,0.0220715356990695,0.011970357700062837
50,MSE,10,MSE,,,,5,15,0.032341185957193375,0.029854925349354744,0.014841181226074696,0.02312549762427807,0.021050138399004936,0.011264816857874393
50,MSE,60,MSE,,,,5,15,0.032341185957193375,0.029854925349354744,0.014841181226074696,0.02312549762427807,0.021050138399004936,0.011264816857874393
50,MSE,300,MSE,,,,5,15,0.032341185957193375,0.029854925349354744,0.014841181226074696,0.02312549762427807,0.021050138399004936,0.011264816857874393
50,MSE,600,MSE,,,,5,15,0.03234118670225143,0.029854925349354744,0.0145413281074046,0.023125499228923582,0.021050711162388325,0.011264253509136063
50,SG,10,Exact,,,,1,20,0.2200273871421814,0.2038363367319107,0.06790560483932495,0.21905066072940826,0.21395628154277802,0.05955829098820686
50,SG,60,Exact,,,,1,20,0.2200273871421814,0.2038363367319107,0.06790560483932495,0.21905066072940826,0.21395628154277802,0.05955829098820686
