n,jobtype,time limit,method,n_samples,lambda_imle,sigma,step_mu,n_iter_mu,mean_relat_eval,median_relat_eval,std_relat_eval,mean_relat_test,median_relat_test,std_relat_test
50,SG,10,Exact,,,,10,10,0.03235279396176338,0.0326014868915081,0.013965259306132793,0.023340778425335884,0.02120441570878029,0.011346915736794472
50,SG,60,Exact,,,,10,10,0.028935609385371208,0.02825971320271492,0.012909785844385624,0.02028510719537735,0.01837249845266342,0.010804339312016964
50,SG,300,Exact,,,,10,10,0.028935609385371208,0.02825971320271492,0.012909785844385624,0.02028510719537735,0.01837249845266342,0.010804339312016964
50,SG,600,Exact,,,,10,10,0.028935606330633162,0.02825971320271492,0.012648955582271438,0.020285106094612274,0.018373386934399605,0.010803798714070518
50,LD,10,Exact,,,,5,15,0.028806978836655617,0.02722698450088501,0.012920400127768517,0.02014072984457016,0.018243562430143356,0.01072936225682497
50,LD,60,Exact,,,,5,15,0.028806978836655617,0.02722698450088501,0.012920400127768517,0.02014072984457016,0.018243562430143356,0.01072936225682497
50,LD,300,Exact,,,,5,15,0.028806978836655617,0.02722698450088501,0.012920400127768517,0.02014072984457016,0.018243562430143356,0.01072936225682497
50,LD,600,Exact,,,,5,15,0.02880697913467884,0.02722698450088501,0.012659354913234784,0.020140730832796543,0.018247175961732864,0.010728826036888368
50,SG,10,Exact,,,,10,20,0.20294462144374847,0.20335476100444794,0.07523809373378754,0.20752397179603577,0.2006159871816635,0.05831480771303177
50,SG,60,Exact,,,,10,20,0.02890443243086338,0.028208905830979347,0.013442163355648518,0.02010679617524147,0.018169889226555824,0.010756139643490314
50,SG,300,Exact,,,,10,20,0.02890443243086338,0.028208905830979347,0.013442163355648518,0.02010679617524147,0.018169889226555824,0.010756139643490314
50,SG,600,Exact,,,,10,20,0.028904436379671095,0.028208905830979347,0.013170576777339587,0.020106797178625128,0.0181701323017478,0.01075560171944555
50,SG,10,Exact,,,,1,10,0.20294462144374847,0.20335476100444794,0.07523809373378754,0.20752397179603577,0.2006159871816635,0.05831480771303177
50,SG,60,Exact,,,,1,10,0.036313366144895554,0.0371064767241478,0.015174542553722858,0.026896918192505836,0.024565303698182106,0.01203680969774723
50,SG,300,Exact,,,,1,10,0.029060617089271545,0.028624994680285454,0.01330577116459608,0.020096732303500175,0.018193546682596207,0.01077735610306263
50,SG,600,Exact,,,,1,10,0.029060615450143813,0.028624994680285454,0.013036940027679607,0.020096733259013854,0.01819455251097679,0.010776817253670357
50,SG,10,Exact,,,,1,20,0.20294462144374847,0.20335476100444794,0.07523809373378754,0.20752397179603577,0.2006159871816635,0.05831480771303177
50,SG,60,Exact,,,,1,20,0.20294462144374847,0.20335476100444794,0.07523809373378754,0.20752397179603577,0.2006159871816635,0.05831480771303177
50,SG,300,Exact,,,,1,20,0.030825862661004066,0.03178352117538452,0.014118130318820477,0.021389801055192947,0.019345296546816826,0.01097449567168951
50,SG,600,Exact,,,,1,20,0.030423577427864074,0.03103669360280037,0.01363235303907988,0.021122706651501358,0.019086615182459354,0.010911555771875423
50,SG,10,Exact,,,,20,10,0.02919502928853035,0.028295503929257393,0.013076242990791798,0.020350899547338486,0.018426550552248955,0.010821853764355183
50,SG,60,Exact,,,,20,10,0.028996001929044724,0.027883125469088554,0.012893994338810444,0.020339732989668846,0.018396586179733276,0.010773726738989353
50,SG,300,Exact,,,,20,10,0.028996001929044724,0.027883125469088554,0.012893994338810444,0.020339732989668846,0.018396586179733276,0.010773726738989353
50,SG,600,Exact,,,,20,10,0.028996004424989223,0.027883125469088554,0.012633482560534818,0.020339734407467766,0.018396947532892227,0.010773188307256081
50,SG,10,Exact,,,,20,20,0.03262481838464737,0.03216072916984558,0.014353985898196697,0.023462781682610512,0.021275898441672325,0.011412407271564007
50,SG,60,Exact,,,,20,20,0.02875223383307457,0.028354987502098083,0.013240036554634571,0.020100964233279228,0.0181734561920166,0.010705783031880856
50,SG,300,Exact,,,,20,20,0.02875223383307457,0.028354987502098083,0.013240036554634571,0.020100964233279228,0.0181734561920166,0.010705783031880856
50,SG,600,Exact,,,,20,20,0.028752234764397144,0.028354987502098083,0.012972533718636388,0.020100963865593076,0.018174106255173683,0.010705247336355752
50,SG,10,Exact,,,,5,10,0.20294462144374847,0.20335476100444794,0.07523809373378754,0.20752397179603577,0.2006159871816635,0.05831480771303177
50,SG,60,Exact,,,,5,10,0.028774823993444443,0.028181331232190132,0.013254533521831036,0.0201057530939579,0.018202990293502808,0.010776218958199024
50,SG,300,Exact,,,,5,10,0.028774823993444443,0.028181331232190132,0.013254533521831036,0.0201057530939579,0.018202990293502808,0.010776218958199024
50,SG,600,Exact,,,,5,10,0.028774824887514115,0.028181331232190132,0.012986737216493807,0.020105752941640093,0.01820386853069067,0.010775679932179622
50,SG,10,Exact,,,,5,20,0.20294462144374847,0.20335476100444794,0.07523809373378754,0.20752397179603577,0.2006159871816635,0.05831480771303177
50,SG,60,Exact,,,,5,20,0.029041552916169167,0.028592482209205627,0.01351897418498993,0.02017674595117569,0.018239496275782585,0.0108123067766428
50,SG,300,Exact,,,,5,20,0.02900880016386509,0.028101280331611633,0.013248260132968426,0.020104674622416496,0.01818111725151539,0.010758833959698677
50,SG,600,Exact,,,,5,20,0.029008800461888314,0.028101280331611633,0.012980590851485813,0.0201046730899252,0.01818329095840454,0.010758296443431034
