n,jobtype,method,n_samples,lambda_imle,sigma,step_mu,n_iter_mu,mean_relat_eval,std_relat_eval,mean_relat_test,std_relat_test
50,SG,IMLE,10.0,1.0,2.0,20,30,0.2210457623004913,0.0497725941240787,0.2251562625169754,0.0471539534628391
50,SG,IMLE,10.0,1.0,2.0,5,10,0.2195211946964264,0.0482253953814506,0.2211944013833999,0.0456017330288887
50,SG,IMLE,10.0,1.0,2.0,5,20,0.2199053168296814,0.0427938774228096,0.2252217680215835,0.0479446537792682
50,SG,IMLE,10.0,20.0,0.1,10,20,0.2236879020929336,0.0473185330629348,0.2297752052545547,0.0459523051977157
50,SG,IMLE,10.0,20.0,0.1,15,10,0.2218039482831955,0.0468398407101631,0.2228892296552658,0.0507897175848484
50,SG,IMLE,10.0,20.0,0.1,10,10,0.2175444811582565,0.0487510189414024,0.2261792421340942,0.0511656254529953
50,SG,IMLE,10.0,20.0,0.1,10,30,0.2174963057041168,0.0448383092880249,0.2249176949262619,0.0518132671713829
50,SG,IMLE,10.0,1.0,2.0,5,30,0.2180080860853195,0.0446612276136875,0.2216707617044448,0.0459747985005378
50,SG,IMLE,10.0,20.0,0.1,20,30,0.2179452776908874,0.0506374277174472,0.2276546061038971,0.0492983795702457
50,SG,IMLE,10.0,20.0,0.1,20,10,0.2197604775428772,0.0459536276757717,0.2253678441047668,0.049631293863058
50,SG,IMLE,10.0,20.0,0.1,15,20,0.2217961549758911,0.0477551259100437,0.2270843684673309,0.0508389137685298
50,SG,IMLE,10.0,20.0,0.1,15,30,0.2203260660171508,0.0444161742925643,0.2250352352857589,0.0454840660095214
50,SG,IMLE,10.0,20.0,0.1,20,20,0.2232732027769088,0.0460227318108081,0.2287561744451522,0.0494303628802299
50,SG,IMLE,10.0,20.0,0.5,10,20,0.2262498885393142,0.0520028620958328,0.2353662997484207,0.0469059906899929
50,SG,IMLE,10.0,20.0,0.5,10,10,0.2211138010025024,0.0454767346382141,0.22524294257164,0.0495991930365562
50,SG,IMLE,10.0,20.0,0.1,5,20,0.2264726012945175,0.0476546101272106,0.2257704585790634,0.0509357266128063
50,SG,IMLE,10.0,20.0,0.1,5,10,0.2222452163696289,0.048972588032484,0.2248514592647552,0.0522888116538524
50,SG,IMLE,10.0,20.0,0.1,5,30,0.2210906744003296,0.0499347820878028,0.2271863520145416,0.0473211035132408
