n,jobtype,time limit,method,n_samples,lambda_imle,sigma,step_mu,n_iter_mu,mean_relat_eval,std_relat_eval,mean_relat_test,std_relat_test
50,classic,60,IMLE,1,10.0,1.0,5,15,0.0297985577583313,0.011805214762789786,0.021564759414549918,0.01134542510863853
50,classic,60,SPOPlus,,,,5,15,0.029364375844597817,0.01281672188550055,0.021490323126642032,0.01083150679554405
50,MSE,60,MSE,,,,5,15,0.03248675499111414,0.014844712002883493,0.023293395765312017,0.011437727109296181
50,LD,60,SPOPlus,,,,5,15,0.02966410018503666,0.013376136792346286,0.021601341639622115,0.011079765236647898
50,LD,60,IMLE,1,10.0,1.0,5,15,0.03858946170657873,0.01286953796709156,0.028967078610602767,0.012566644791312342
50,LD,60,Exact,,,,5,15,0.030636228919029236,0.012754796177514365,0.02294103019684553,0.011521078281297111
50,SG,60,SPOPlus,,,,10,10,0.033298377208411695,0.012306220270006014,0.025484585488424638,0.012160248528073346
50,SG,60,IMLE,1,10.0,1.0,10,10,0.03327994830906391,0.013673029122684801,0.024588536306424068,0.01203545826686107
50,SG,60,Exact,,,,20,10,0.03206937540322542,0.012800418464592718,0.024092160933767447,0.011964497353822245
50,classic,10,IMLE,1,10.0,1.0,5,15,0.10450896263122558,0.027697040753877855,0.09614681332167238,0.031216572289944074
50,classic,10,SPOPlus,,,,5,15,0.03451072510331869,0.014497057222721502,0.025690326445316897,0.011914641650350125
50,MSE,10,MSE,,,,5,15,0.03217457111924887,0.014864547473399072,0.023158255230402575,0.011453803786894595
50,LD,10,SPOPlus,,,,5,15,0.03372200433164835,0.011520025365008625,0.024121965440968052,0.011145032685131727
50,LD,10,IMLE,1,10.0,1.0,5,15,0.1237297636270523,0.030609258686242438,0.12989293276518582,0.03802827654411599
50,LD,10,Exact,,,,5,15,0.030846845023334027,0.012975913082511885,0.02283600116514135,0.011502206477840626
50,SG,10,SPOPlus,,,,10,10,0.1269316765666008,0.036906818905750656,0.1255036135416478,0.034850523321492716
50,SG,10,IMLE,1,10.0,1.0,10,10,0.16269925892353057,0.0489030775764317,0.16701468951664866,0.05071576222936535
50,SG,10,Exact,,,,20,10,0.031624749302864075,0.013168355938831925,0.02366395141631365,0.012143855558757192
50,classic,300,IMLE,1,10.0,1.0,5,15,0.029602727256715297,0.012594724861830706,0.020553708041529173,0.011019608008364778
50,classic,300,SPOPlus,,,,5,15,0.029651511646807193,0.012983590978479972,0.020894775460439267,0.010940390269034971
50,MSE,300,MSE,,,,5,15,0.03254167847335339,0.014666531298776877,0.023286511462065392,0.011419607430043237
50,LD,300,IMLE,1,10.0,1.0,5,15,0.030722932331264018,0.01331146658198453,0.022602765974123033,0.011231913848086061
50,LD,300,SPOPlus,,,,5,15,0.02912582244724035,0.01343183453466834,0.020818087090784684,0.01088124928889342
50,LD,300,Exact,,,,5,15,0.029934557862579824,0.012687994428330828,0.021606098492722957,0.011088060398215029
50,SG,300,SPOPlus,,,,5,10,0.03353380423039198,0.012654751701544138,0.02547425406652037,0.012062481131678933
50,SG,300,IMLE,1,10.0,1.0,5,10,0.03146713498979807,0.013131311102864512,0.022897576383454726,0.011622837288249286
50,SG,300,Exact,,,,5,10,0.03196820132434368,0.012678156686549778,0.023818358209915458,0.011886353166212471
