n,jobtype,time limit,method,muloss,lr,step_mu,n_iter_mu,mean_relat_eval,median_relat_eval,std_relat_eval,mean_relat_test,median_relat_test,std_relat_test
50,LD,10,Exact,False,0.002,5,15,0.029268361628055573,0.02939644642174244,0.012790771201252937,0.02061343751847744,0.01871013455092907,0.010700368322432041
50,LD,60,Exact,False,0.002,5,15,0.029268361628055573,0.02939644642174244,0.012790771201252937,0.02061343751847744,0.01871013455092907,0.010700368322432041
50,LD,300,Exact,False,0.002,5,15,0.029268361628055573,0.02939644642174244,0.012790771201252937,0.02061343751847744,0.01871013455092907,0.010700368322432041
50,LD,600,Exact,False,0.002,5,15,0.029268360920250414,0.02939644642174244,0.012532344943165833,0.02061343704899773,0.018710211850702763,0.01069983366870441
50,SG,10,Exact,False,0.002,20,10,0.029675764963030815,0.028046520426869392,0.013237129896879196,0.020484887063503265,0.018490202724933624,0.011013440787792206
50,SG,60,Exact,False,0.002,20,10,0.02877737022936344,0.02759099192917347,0.012899797409772873,0.020256919786334038,0.018336370587348938,0.010762716643512249
50,SG,300,Exact,False,0.002,20,10,0.02877737022936344,0.02759099192917347,0.012899797409772873,0.020256919786334038,0.018336370587348938,0.010762716643512249
50,SG,600,Exact,False,0.002,20,10,0.028777369298040867,0.02759099192917347,0.012639168876859059,0.02025691970612388,0.01833733543753624,0.010762178632675418
50,SG,10,Exact,False,0.002,20,20,0.03214713931083679,0.03317663073539734,0.013485971838235855,0.024262413382530212,0.022486981004476547,0.011133677326142788
50,SG,60,Exact,False,0.002,20,20,0.028870495036244392,0.028236133977770805,0.01311782468110323,0.02006082609295845,0.018154442310333252,0.010814870707690716
50,SG,300,Exact,False,0.002,20,20,0.028870495036244392,0.028236133977770805,0.01311782468110323,0.02006082609295845,0.018154442310333252,0.010814870707690716
50,SG,600,Exact,False,0.002,20,20,0.028870494812726976,0.028236133977770805,0.012852790462132052,0.02006082547311671,0.018156426958739758,0.010814330034367324
