n,jobtype,time limit,method,muloss,lr,step_mu,n_iter_mu,mean_relat_eval,median_relat_eval,std_relat_eval,mean_relat_test,median_relat_test,std_relat_test
50,LD,10,Exact,False,0.002,5,15,0.028806978836655617,0.02722698450088501,0.012920400127768517,0.02014072984457016,0.018243562430143356,0.01072936225682497
50,LD,60,Exact,False,0.002,5,15,0.028806978836655617,0.02722698450088501,0.012920400127768517,0.02014072984457016,0.018243562430143356,0.01072936225682497
50,LD,300,Exact,False,0.002,5,15,0.028806978836655617,0.02722698450088501,0.012920400127768517,0.02014072984457016,0.018243562430143356,0.01072936225682497
50,LD,600,Exact,False,0.002,5,15,0.02880697913467884,0.02722698450088501,0.012659354913234784,0.020140730832796543,0.018247175961732864,0.010728826036888368
50,SG,10,Exact,False,0.002,20,10,0.02919502928853035,0.028295503929257393,0.013076242990791798,0.020350899547338486,0.018426550552248955,0.010821853764355183
50,SG,60,Exact,False,0.002,20,10,0.02899775467813015,0.027881478890776634,0.012895840220153332,0.02033974975347519,0.018396155908703804,0.010773811489343643
50,SG,300,Exact,False,0.002,20,10,0.02899775467813015,0.027881478890776634,0.012895840220153332,0.02033974975347519,0.018396155908703804,0.010773811489343643
50,SG,600,Exact,False,0.002,20,10,0.028997755609452724,0.027881478890776634,0.012635291384583311,0.020339749979879706,0.01839624624699354,0.010773272591038618
50,SG,10,Exact,False,0.002,20,20,0.03262481838464737,0.03216072916984558,0.014353985898196697,0.023462781682610512,0.021275898441672325,0.011412407271564007
50,SG,60,Exact,False,0.002,20,20,0.02875223383307457,0.028354987502098083,0.013240036554634571,0.020100964233279228,0.0181734561920166,0.010705783031880856
50,SG,300,Exact,False,0.002,20,20,0.02875223383307457,0.028354987502098083,0.013240036554634571,0.020100964233279228,0.0181734561920166,0.010705783031880856
50,SG,600,Exact,False,0.002,20,20,0.028752234764397144,0.028354987502098083,0.012972533718636388,0.020100963865593076,0.018174106255173683,0.010705247336355752
