Loading /quad/train_50_500_200_2-25.txt
Loading /quad/eval_50_100_200_2-25.txt
Loading /quad/test_50_200_200_2-25.txt
Restricted license - for non-production use only - expires 2026-11-23
Num of cores: 1
Training the model with LD bound as loss...
Epoch 0 | loss: 0.0257
Eval Epoch 0 | Mean relative regret: 0.2175
Epoch 1 | loss: 0.0209
Eval Epoch 1 | Mean relative regret: 0.2066
Epoch 2 | loss: 0.0187
Eval Epoch 2 | Mean relative regret: 0.1995
Epoch 3 | loss: 0.0173
Eval Epoch 3 | Mean relative regret: 0.1956
Epoch 4 | loss: 0.0165
Eval Epoch 4 | Mean relative regret: 0.1897
Epoch 5 | loss: 0.0155
Eval Epoch 5 | Mean relative regret: 0.1823
Epoch 6 | loss: 0.0147
Eval Epoch 6 | Mean relative regret: 0.1763
Epoch 7 | loss: 0.0139
Eval Epoch 7 | Mean relative regret: 0.1683
Epoch 8 | loss: 0.0131
Eval Epoch 8 | Mean relative regret: 0.1633
Epoch 9 | loss: 0.0123
Eval Epoch 9 | Mean relative regret: 0.1590
Epoch 10 | loss: 0.0117
Eval Epoch 10 | Mean relative regret: 0.1563
Epoch 11 | loss: 0.0112
Eval Epoch 11 | Mean relative regret: 0.1531
Epoch 12 | loss: 0.0106
Eval Epoch 12 | Mean relative regret: 0.1523
Epoch 13 | loss: 0.0104
Eval Epoch 13 | Mean relative regret: 0.1510
Epoch 14 | loss: 0.0098
Eval Epoch 14 | Mean relative regret: 0.1502
Epoch 15 | loss: 0.0095
Eval Epoch 15 | Mean relative regret: 0.1498
Epoch 16 | loss: 0.0093
Eval Epoch 16 | Mean relative regret: 0.1479
Epoch 17 | loss: 0.0090
Eval Epoch 17 | Mean relative regret: 0.1474
Epoch 18 | loss: 0.0086
Eval Epoch 18 | Mean relative regret: 0.1469
Epoch 19 | loss: 0.0086
Eval Epoch 19 | Mean relative regret: 0.1471
Epoch 20 | loss: 0.0083
Eval Epoch 20 | Mean relative regret: 0.1465
Epoch 21 | loss: 0.0081
Eval Epoch 21 | Mean relative regret: 0.1468
Epoch 22 | loss: 0.0080
Eval Epoch 22 | Mean relative regret: 0.1471
Epoch 23 | loss: 0.0079
Eval Epoch 23 | Mean relative regret: 0.1471
Epoch 24 | loss: 0.0077
Eval Epoch 24 | Mean relative regret: 0.1476
Epoch 25 | loss: 0.0076
Eval Epoch 25 | Mean relative regret: 0.1471
Epoch 26 | loss: 0.0075
Eval Epoch 26 | Mean relative regret: 0.1468
Epoch 27 | loss: 0.0073
Eval Epoch 27 | Mean relative regret: 0.1474
Epoch 28 | loss: 0.0073
Eval Epoch 28 | Mean relative regret: 0.1477
Epoch 29 | loss: 0.0072
Eval Epoch 29 | Mean relative regret: 0.1480
Epoch 30 | loss: 0.0071
Eval Epoch 30 | Mean relative regret: 0.1475
Epoch 31 | loss: 0.0070
Eval Epoch 31 | Mean relative regret: 0.1474
Epoch 32 | loss: 0.0069
Eval Epoch 32 | Mean relative regret: 0.1476
Epoch 33 | loss: 0.0067
Eval Epoch 33 | Mean relative regret: 0.1471
Epoch 34 | loss: 0.0067
Eval Epoch 34 | Mean relative regret: 0.1468
Epoch 35 | loss: 0.0066
Eval Epoch 35 | Mean relative regret: 0.1472
Epoch 36 | loss: 0.0066
Eval Epoch 36 | Mean relative regret: 0.1473
Epoch 37 | loss: 0.0065
Eval Epoch 37 | Mean relative regret: 0.1475
Epoch 38 | loss: 0.0065
Eval Epoch 38 | Mean relative regret: 0.1469
Epoch 39 | loss: 0.0065
Eval Epoch 39 | Mean relative regret: 0.1469
Epoch 40 | loss: 0.0065
Eval Epoch 40 | Mean relative regret: 0.1475
Epoch 41 | loss: 0.0062
Eval Epoch 41 | Mean relative regret: 0.1470
Epoch 42 | loss: 0.0063
Eval Epoch 42 | Mean relative regret: 0.1468
Epoch 43 | loss: 0.0061
Eval Epoch 43 | Mean relative regret: 0.1466
Epoch 44 | loss: 0.0061
Eval Epoch 44 | Mean relative regret: 0.1473
Epoch 45 | loss: 0.0062
Eval Epoch 45 | Mean relative regret: 0.1468
Epoch 46 | loss: 0.0061
Eval Epoch 46 | Mean relative regret: 0.1475
Epoch 47 | loss: 0.0061
Eval Epoch 47 | Mean relative regret: 0.1475
Epoch 48 | loss: 0.0059
Eval Epoch 48 | Mean relative regret: 0.1468
Epoch 49 | loss: 0.0058
Eval Epoch 49 | Mean relative regret: 0.1469
Epoch 50 | loss: 0.0061
Eval Epoch 50 | Mean relative regret: 0.1476
Epoch 51 | loss: 0.0059
Eval Epoch 51 | Mean relative regret: 0.1478
Epoch 52 | loss: 0.0058
Eval Epoch 52 | Mean relative regret: 0.1474
Epoch 53 | loss: 0.0058
Eval Epoch 53 | Mean relative regret: 0.1476
Epoch 54 | loss: 0.0058
